NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	81	-0.8105112	-2.9652746	0.0	0.0	0.0	1389	tags=70%, list=10%, signal=77%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	162	-0.68837357	-2.7129512	0.0	0.0	0.0	1389	tags=48%, list=10%, signal=53%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.6	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.6	Details ...	56	-0.754688	-2.5769098	0.0	0.0	0.0	1748	tags=64%, list=12%, signal=73%	
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	Details ...	111	-0.6700593	-2.5408554	0.0	0.0	0.0	2219	tags=55%, list=15%, signal=64%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	151	-0.629123	-2.4936695	0.0	0.0	0.0	1692	tags=46%, list=12%, signal=51%	
PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	Details ...	80	-0.69980216	-2.4876084	0.0	0.0	0.0	1890	tags=44%, list=13%, signal=50%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	151	-0.629123	-2.4861796	0.0	0.0	0.0	1692	tags=46%, list=12%, signal=51%	
DNA METHYLATION%REACTOME DATABASE ID RELEASE 79%5334118	DNA METHYLATION%REACTOME DATABASE ID RELEASE 79%5334118	Details ...	27	-0.83529454	-2.4490874	0.0	0.0	0.0	425	tags=56%, list=3%, signal=57%	
ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.2	ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.2	Details ...	28	-0.81213135	-2.421468	0.0	0.0	0.0	425	tags=54%, list=3%, signal=55%	
SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME%R-HSA-427359.2	SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME%R-HSA-427359.2	Details ...	31	-0.78877556	-2.410884	0.0	0.0	0.0	425	tags=48%, list=3%, signal=50%	
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	Details ...	43	-0.7559949	-2.4010277	0.0	0.0	0.0	2308	tags=65%, list=16%, signal=77%	
RNA POLYMERASE I PROMOTER OPENING%REACTOME DATABASE ID RELEASE 79%73728	RNA POLYMERASE I PROMOTER OPENING%REACTOME DATABASE ID RELEASE 79%73728	Details ...	26	-0.8219605	-2.3965867	0.0	0.0	0.0	425	tags=58%, list=3%, signal=59%	
CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 79%2299718	CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 79%2299718	Details ...	35	-0.7834699	-2.3835957	0.0	0.0	0.0	1070	tags=57%, list=7%, signal=62%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	Details ...	22	-0.84064114	-2.3689182	0.0	0.0	0.0	809	tags=68%, list=6%, signal=72%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	50	-0.70778173	-2.368218	0.0	0.0	0.0	1808	tags=62%, list=13%, signal=71%	
PACKAGING OF TELOMERE ENDS%REACTOME%R-HSA-171306.3	PACKAGING OF TELOMERE ENDS%REACTOME%R-HSA-171306.3	Details ...	27	-0.78905284	-2.356928	0.0	0.0	0.0	425	tags=52%, list=3%, signal=53%	
PRC2 METHYLATES HISTONES AND DNA%REACTOME%R-HSA-212300.1	PRC2 METHYLATES HISTONES AND DNA%REACTOME%R-HSA-212300.1	Details ...	36	-0.76266754	-2.3532493	0.0	0.0	0.0	425	tags=42%, list=3%, signal=43%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	29	-0.79338294	-2.3394635	0.0	0.0	0.0	861	tags=59%, list=6%, signal=62%	
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%R-HSA-606279.1	DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%R-HSA-606279.1	Details ...	48	-0.70258874	-2.33307	0.0	0.0	0.0	425	tags=31%, list=3%, signal=32%	
MEIOTIC RECOMBINATION%REACTOME DATABASE ID RELEASE 79%912446	MEIOTIC RECOMBINATION%REACTOME DATABASE ID RELEASE 79%912446	Details ...	47	-0.71092486	-2.330548	0.0	0.0	0.0	1584	tags=47%, list=11%, signal=52%	
DEFECTIVE PYROPTOSIS%REACTOME%R-HSA-9710421.3	DEFECTIVE PYROPTOSIS%REACTOME%R-HSA-9710421.3		36	-0.748909	-2.3296256	0.0	0.0	0.0	425	tags=42%, list=3%, signal=43%	
RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PURINE%REACTOME DATABASE ID RELEASE 79%110330	RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PURINE%REACTOME DATABASE ID RELEASE 79%110330		30	-0.76897115	-2.3283062	0.0	0.0	0.0	425	tags=47%, list=3%, signal=48%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525		72	-0.65316606	-2.313358	0.0	5.4466884E-5	0.001	1808	tags=53%, list=13%, signal=60%	
CLEAVAGE OF THE DAMAGED PURINE%REACTOME%R-HSA-110331.3	CLEAVAGE OF THE DAMAGED PURINE%REACTOME%R-HSA-110331.3		30	-0.76897115	-2.3027272	0.0	5.2197433E-5	0.001	425	tags=47%, list=3%, signal=48%	
NUCLEOSOME ASSEMBLY%REACTOME%R-HSA-774815.1	NUCLEOSOME ASSEMBLY%REACTOME%R-HSA-774815.1		48	-0.70258874	-2.3015149	0.0	5.0109535E-5	0.001	425	tags=31%, list=3%, signal=32%	
DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 79%73928	DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 79%73928		35	-0.74356526	-2.295567	0.0	4.8182246E-5	0.001	425	tags=40%, list=3%, signal=41%	
DEPURINATION%REACTOME DATABASE ID RELEASE 79%73927	DEPURINATION%REACTOME DATABASE ID RELEASE 79%73927		30	-0.76897115	-2.2954657	0.0	4.6397716E-5	0.001	425	tags=47%, list=3%, signal=48%	
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337		21	-0.8352888	-2.2890756	0.0	4.4740656E-5	0.001	809	tags=67%, list=6%, signal=71%	
INHIBITION OF DNA RECOMBINATION AT TELOMERE%REACTOME%R-HSA-9670095.2	INHIBITION OF DNA RECOMBINATION AT TELOMERE%REACTOME%R-HSA-9670095.2		42	-0.7136713	-2.2826498	0.0	4.3197877E-5	0.001	425	tags=33%, list=3%, signal=34%	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDB_C2%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDB_C2%HALLMARK_INFLAMMATORY_RESPONSE		139	-0.5842487	-2.2813642	0.0	4.1757943E-5	0.001	1910	tags=45%, list=13%, signal=51%	
BASE-EXCISION REPAIR, AP SITE FORMATION%REACTOME%R-HSA-73929.3	BASE-EXCISION REPAIR, AP SITE FORMATION%REACTOME%R-HSA-73929.3		36	-0.7419491	-2.2793357	0.0	4.0410912E-5	0.001	425	tags=39%, list=3%, signal=40%	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220210%WP4197%HOMO SAPIENS	IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220210%WP4197%HOMO SAPIENS		20	-0.82263297	-2.272094	0.0	3.9148075E-5	0.001	1099	tags=75%, list=8%, signal=81%	
ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME DATABASE ID RELEASE 79%68616	ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME DATABASE ID RELEASE 79%68616		32	-0.75621516	-2.2665896	0.0	3.7961767E-5	0.001	767	tags=50%, list=5%, signal=53%	
CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 79%110329	CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 79%110329		35	-0.74356526	-2.2625785	0.0	3.6845246E-5	0.001	425	tags=40%, list=3%, signal=41%	
RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PYRIMIDINE%REACTOME DATABASE ID RELEASE 79%110328	RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PYRIMIDINE%REACTOME DATABASE ID RELEASE 79%110328		35	-0.74356526	-2.26158	0.0	3.5792524E-5	0.001	425	tags=40%, list=3%, signal=41%	
RNA POLYMERASE I PROMOTER ESCAPE%REACTOME%R-HSA-73772.5	RNA POLYMERASE I PROMOTER ESCAPE%REACTOME%R-HSA-73772.5		53	-0.6692043	-2.2577665	0.0	7.033175E-5	0.002	425	tags=28%, list=3%, signal=29%	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	INTERFERON SIGNALING%REACTOME%R-HSA-913531.2		173	-0.5539604	-2.2365851	0.0	6.84309E-5	0.002	1161	tags=35%, list=8%, signal=37%	
G2 M DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69473.5	G2 M DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69473.5		74	-0.6263114	-2.2283115	0.0	6.6630084E-5	0.002	721	tags=26%, list=5%, signal=27%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 79%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 79%877300		82	-0.616671	-2.228198	0.0	6.4921616E-5	0.002	1161	tags=40%, list=8%, signal=44%	
B-WICH COMPLEX POSITIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 79%5250924	B-WICH COMPLEX POSITIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 79%5250924		53	-0.6628115	-2.220152	0.0	6.3298576E-5	0.002	425	tags=28%, list=3%, signal=29%	
POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731	POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731		49	-0.6675707	-2.2198315	0.0	6.175471E-5	0.002	2994	tags=63%, list=21%, signal=80%	
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3	G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3		145	-0.5667566	-2.21906	0.0	6.028436E-5	0.002	1492	tags=26%, list=10%, signal=28%	
DISEASES OF IMMUNE SYSTEM%REACTOME%R-HSA-5260271.2	DISEASES OF IMMUNE SYSTEM%REACTOME%R-HSA-5260271.2		27	-0.7511249	-2.2175343	0.0	5.8882397E-5	0.002	1516	tags=48%, list=11%, signal=54%	
RHO GTPASES ACTIVATE PKNS%REACTOME DATABASE ID RELEASE 79%5625740	RHO GTPASES ACTIVATE PKNS%REACTOME DATABASE ID RELEASE 79%5625740		55	-0.6460104	-2.2141643	0.0	5.7544163E-5	0.002	2114	tags=42%, list=15%, signal=49%	
DISEASES ASSOCIATED WITH THE TLR SIGNALING CASCADE%REACTOME DATABASE ID RELEASE 79%5602358	DISEASES ASSOCIATED WITH THE TLR SIGNALING CASCADE%REACTOME DATABASE ID RELEASE 79%5602358		27	-0.7511249	-2.2117534	0.0	5.6265406E-5	0.002	1516	tags=48%, list=11%, signal=54%	
HDACS DEACETYLATE HISTONES%REACTOME%R-HSA-3214815.3	HDACS DEACETYLATE HISTONES%REACTOME%R-HSA-3214815.3		53	-0.66273785	-2.2094088	0.0	5.504224E-5	0.002	448	tags=36%, list=3%, signal=37%	
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220210%WP619%HOMO SAPIENS	TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220210%WP619%HOMO SAPIENS		25	-0.7730375	-2.2042017	0.0	5.3871132E-5	0.002	1728	tags=72%, list=12%, signal=82%	
NUCLEOSOME ASSEMBLY%GOBP%GO:0006334	NUCLEOSOME ASSEMBLY%GOBP%GO:0006334		50	-0.6636819	-2.201475	0.0	5.2748816E-5	0.002	425	tags=36%, list=3%, signal=37%	
CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002753	CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002753		25	-0.74447674	-2.1949399	0.0	5.167231E-5	0.002	802	tags=44%, list=6%, signal=47%	
ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME%R-HSA-427389.2	ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME%R-HSA-427389.2		39	-0.68654156	-2.1919448	0.0	5.0638864E-5	0.002	425	tags=38%, list=3%, signal=40%	
NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME DATABASE ID RELEASE 79%5693571	NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME DATABASE ID RELEASE 79%5693571		49	-0.66850656	-2.1915824	0.0	4.9645943E-5	0.002	425	tags=31%, list=3%, signal=31%	
DNA DAMAGE TELOMERE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559586.3	DNA DAMAGE TELOMERE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559586.3		54	-0.6468381	-2.1865547	0.0	4.8691214E-5	0.002	1647	tags=46%, list=11%, signal=52%	
MEIOTIC SYNAPSIS%REACTOME%R-HSA-1221632.1	MEIOTIC SYNAPSIS%REACTOME%R-HSA-1221632.1		46	-0.66873574	-2.183757	0.0	7.203912E-5	0.003	425	tags=35%, list=3%, signal=36%	
NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824		55	-0.6417906	-2.1804862	0.0	7.0705064E-5	0.003	1890	tags=45%, list=13%, signal=52%	
