NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	Details ...	116	0.6688145	2.506432	0.0	0.0	0.0	3451	tags=70%, list=24%, signal=91%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	109	0.66936016	2.5049767	0.0	0.0	0.0	3609	tags=72%, list=25%, signal=96%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	108	0.67056304	2.4991655	0.0	0.0	0.0	3609	tags=72%, list=25%, signal=96%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	Details ...	119	0.66231185	2.4940693	0.0	0.0	0.0	3451	tags=70%, list=24%, signal=91%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	Details ...	116	0.6688145	2.4931905	0.0	0.0	0.0	3451	tags=70%, list=24%, signal=91%	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3	Details ...	130	0.6408926	2.485951	0.0	0.0	0.0	3609	tags=63%, list=25%, signal=83%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220210%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220210%WP477%HOMO SAPIENS	Details ...	81	0.68757695	2.4839582	0.0	0.0	0.0	3537	tags=77%, list=25%, signal=101%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	90	0.67643195	2.4514565	0.0	0.0	0.0	3609	tags=76%, list=25%, signal=100%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	98	0.6704413	2.4491649	0.0	0.0	0.0	3609	tags=74%, list=25%, signal=99%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	Details ...	92	0.67337424	2.435157	0.0	0.0	0.0	3609	tags=74%, list=25%, signal=98%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	Details ...	88	0.6794134	2.425277	0.0	0.0	0.0	3609	tags=76%, list=25%, signal=101%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	Details ...	112	0.6522503	2.4138684	0.0	0.0	0.0	3632	tags=68%, list=25%, signal=90%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	Details ...	86	0.6778681	2.4127314	0.0	0.0	0.0	3609	tags=76%, list=25%, signal=100%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	Details ...	112	0.6522503	2.4115999	0.0	0.0	0.0	3632	tags=68%, list=25%, signal=90%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	Details ...	187	0.6000238	2.4101734	0.0	0.0	0.0	3609	tags=60%, list=25%, signal=80%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	Details ...	177	0.60540384	2.4090629	0.0	0.0	0.0	3609	tags=61%, list=25%, signal=80%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	Details ...	86	0.6654135	2.39655	0.0	0.0	0.0	3609	tags=73%, list=25%, signal=97%	
RRNA PROCESSING%REACTOME%R-HSA-72312.3	RRNA PROCESSING%REACTOME%R-HSA-72312.3	Details ...	196	0.5932678	2.3827734	0.0	0.0	0.0	3609	tags=60%, list=25%, signal=79%	
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME%R-HSA-72649.3	TRANSLATION INITIATION COMPLEX FORMATION%REACTOME%R-HSA-72649.3	Details ...	58	0.6843388	2.3176196	0.0	0.0	0.0	3451	tags=72%, list=24%, signal=95%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	Details ...	98	0.6325778	2.305926	0.0	0.0	0.0	3609	tags=68%, list=25%, signal=91%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557		90	0.65114814	2.3049092	0.0	0.0	0.0	3609	tags=73%, list=25%, signal=97%	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2		109	0.6160508	2.2827115	0.0	0.0	0.0	3609	tags=60%, list=25%, signal=79%	
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3		59	0.68055135	2.2807994	0.0	0.0	0.0	3451	tags=71%, list=24%, signal=93%	
INFLUENZA INFECTION%REACTOME%R-HSA-168255.4	INFLUENZA INFECTION%REACTOME%R-HSA-168255.4		148	0.5910957	2.2702475	0.0	0.0	0.0	3609	tags=58%, list=25%, signal=77%	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522		110	0.6136266	2.2607327	0.0	3.0699615E-5	0.001	3609	tags=64%, list=25%, signal=84%	
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 79%72702	RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 79%72702		58	0.6805101	2.2575855	0.0	2.9518864E-5	0.001	3451	tags=72%, list=24%, signal=95%	
HALLMARK_HEME_METABOLISM%MSIGDB_C2%HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM%MSIGDB_C2%HALLMARK_HEME_METABOLISM		137	0.5860563	2.244619	0.0	2.8425571E-5	0.001	2249	tags=48%, list=16%, signal=57%	
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2	FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2		51	0.6837292	2.2035878	0.0	2.7410373E-5	0.001	3451	tags=75%, list=24%, signal=98%	
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GOBP%GO:0022618	RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GOBP%GO:0022618		169	0.5519243	2.1818426	0.0	5.251331E-5	0.002	3458	tags=52%, list=24%, signal=68%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364		166	0.55561036	2.1697896	0.0	5.0762872E-5	0.002	4596	tags=64%, list=32%, signal=93%	
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS%GOBP%GO:0016072		191	0.52320534	2.1321635	0.0	9.869097E-5	0.004	4596	tags=61%, list=32%, signal=89%	
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071826	RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071826		177	0.5355559	2.1181886	0.0	1.1955761E-4	0.005	4327	tags=59%, list=30%, signal=84%	
RIBOSOMAL SMALL SUBUNIT BIOGENESIS%GOBP%GO:0042274	RIBOSOMAL SMALL SUBUNIT BIOGENESIS%GOBP%GO:0042274		65	0.6168741	2.1160572	0.0	1.3886469E-4	0.006	4314	tags=69%, list=30%, signal=98%	
PRE-MRNA SPLICING%REACTOME DATABASE ID RELEASE 79%72163	PRE-MRNA SPLICING%REACTOME DATABASE ID RELEASE 79%72163		177	0.5280064	2.1096532	0.0	1.5696757E-4	0.007	4786	tags=52%, list=33%, signal=77%	
MRNA SPLICING%REACTOME%R-HSA-72172.3	MRNA SPLICING%REACTOME%R-HSA-72172.3		185	0.52728564	2.1023836	0.0	1.7454932E-4	0.008	4786	tags=52%, list=33%, signal=77%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 79%9010553	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 79%9010553		160	0.52086204	2.0541856	0.0	6.3695136E-4	0.029	3632	tags=49%, list=25%, signal=65%	
MATURATION OF SSU-RRNA%GOBP%GO:0030490	MATURATION OF SSU-RRNA%GOBP%GO:0030490		44	0.63952476	2.05128	0.0018281536	6.401526E-4	0.03	4262	tags=73%, list=30%, signal=103%	
