NAME	TITLE	SCORE	
TUBB2A		19.076342	
PBXIP1		16.290527	
GATA2		15.359545	
FCER1A		15.177184	
MS4A2		15.11323	
LRRN3		14.833071	
PTGDR2		14.315302	
NT5E		14.280912	
GPR15		13.812973	
FCGBP		13.785115	
IL5RA		13.341976	
CYSLTR2		13.031718	
PCSK1N		12.983321	
CCL3L1		12.824645	
CCL3L3		12.824645	
TTC9		12.790309	
TOP1MT		12.728007	
DUSP16		12.586989	
HBG2		12.552007	
TSPYL1		12.530265	
P2RY10		12.492071	
LTB		12.453267	
DNAJB1		12.323461	
AMIGO1		12.312883	
ALOX15		12.105593	
SERTAD2		12.057916	
HRK		12.003674	
SLC45A3		11.70928	
PLVAP		11.699313	
ST13		11.552368	
CD248		11.457731	
TPPP		11.232275	
FOXO1		11.183559	
PRSS33		11.059278	
CCR4		11.036824	
EIF4B		10.965983	
CD40LG		10.956585	
OR2W3		10.951109	
CACNG6		10.831573	
CCL4L1		10.808527	
CCL4L2		10.808527	
SHISA4		10.776523	
MACO1		10.718109	
TPPP3		10.699649	
LSM14A		10.675824	
SPEG		10.671616	
PABPC1		10.648371	
EEF2		10.589882	
RNF144A		10.58203	
N4BP3		10.550971	
FAM102A		10.472858	
SMPD3		10.449619	
TIGD3		10.416415	
ABLIM1		10.415539	
TCTN1		10.407607	
STMN3		10.395899	
HRH4		10.3800335	
ADD2		10.37951	
PTPRK		10.375035	
EPB41		10.368287	
IFFO2		10.301031	
TMEM14C		10.292383	
CSDE1		10.181558	
CASS4		10.156747	
AMPD2		10.146595	
GPR157		10.12567	
IGSF9B		10.040164	
FBXO7		10.001014	
GSTM1		9.957152	
NR1D1		9.925693	
FBXL16		9.874231	
PLD4		9.858797	
RPLP2		9.836829	
LIX1L		9.805927	
ATP2B1		9.792755	
PCBP2		9.750593	
ITGB8		9.594028	
VEGFB		9.54757	
EPHA4		9.534607	
ALDOC		9.523566	
RCAN3		9.486554	
ASCC2		9.443756	
CAMK1D		9.390021	
KIF5C		9.35827	
FNBP1		9.352078	
HPCAL4		9.308912	
JUND		9.29005	
BANK1		9.282057	
SEMA7A		9.248894	
FAM168B		9.231428	
NOG		9.227038	
AKAP12		9.21016	
PSMF1		9.12143	
CCNI		9.03462	
ENPP3		9.003426	
DDX6		8.991524	
GAPVD1		8.879321	
ETS1		8.869449	
FBLN5		8.856822	
VSIG1		8.849292	
ANKH		8.848348	
PID1		8.848182	
GID4		8.844939	
VPS51		8.81569	
CD5		8.754381	
SNX22		8.71642	
KCTD7		8.670947	
SKP1		8.640648	
SIGLEC8		8.637706	
HDC		8.588697	
TAMALIN		8.587371	
SNRPD3		8.580138	
PATJ		8.57781	
MED25		8.566691	
C2CD4D		8.511199	
LOC105374836		8.492755	
TRABD2A		8.492755	
MARCHF8		8.488559	
MARCHF9		8.468024	
WDR82		8.429626	
ACACB		8.386474	
SARAF		8.382462	
RNF123		8.372982	
ESYT1		8.333091	
GATA3		8.320116	
OLFM2		8.312556	
EIF3L		8.305775	
LDLRAP1		8.298929	
C9orf78		8.290901	
HVCN1		8.279154	
CACNG8		8.248974	
COQ8A		8.242568	
SIN3A		8.236875	
RORC		8.235681	
SDC2		8.22766	
MORN3		8.226527	
ADAMTS5		8.212901	
GCSAM		8.195881	
PDCD4		8.192944	
MAL		8.16322	
NELL2		8.161967	
EEF2K		8.147532	
GID8		8.1424465	
NOP53		8.121513	
LRRC75A		8.121417	
IL32		8.09882	
ASB2		8.088075	
HNRNPA0		8.074835	
USP20		8.07216	
KDSR		8.070433	
PIP4K2A		8.065453	
CD200R1		8.058931	
TCP11L2		8.038344	
USP7		8.017599	
DNAJB2		8.003081	
KLHL3		7.9918	
SPRYD3		7.984278	
DOCK9		7.9715466	
PIK3C2B		7.960839	
PABPC4		7.943058	
TBL1XR1		7.9385996	
AP2B1		7.9197955	
CHMP7		7.9122887	
KLF2		7.908284	
KATNBL1		7.9037623	
PCYOX1		7.8900485	
ZC3H12D		7.8885407	
SYNPO		7.8879104	
SORBS3		7.8416705	
WASF2		7.836777	
GUCD1		7.8366165	
ZNF793		7.8317037	
ZC3H13		7.830987	
SNCA		7.818143	
GCNT4		7.8101635	
KCNC4		7.7912345	
LEF1		7.7906218	
HIVEP2		7.7665515	
SEPTIN1		7.7615094	
SCAP		7.7525287	
C14orf132		7.733968	
TCF7		7.7330465	
BTF3		7.7284775	
CRIP1		7.725754	
ZNF554		7.7172365	
MICAL2		7.7101893	
SLC16A10		7.7050686	
SERINC5		7.7014866	
MARCKSL1		7.6883574	
LTBP3		7.675759	
POU6F1		7.6565623	
LRFN3		7.6502695	
POLR2J2		7.646633	
SMARCC1		7.6454186	
RPL13		7.626561	
DBP		7.625638	
E2F2		7.624224	
SPOP		7.614249	
MDS2		7.609764	
LMTK3		7.608665	
RBM8A		7.6007147	
OAZ2		7.5999346	
LOC101928343		7.5942583	
RNF14		7.5885487	
RAB2B		7.5827384	
FECH		7.5722055	
LBH		7.5718164	
FBL		7.570667	
CABIN1		7.5559516	
CYB561D1		7.5542793	
SKI		7.553425	
HERC1		7.5357785	
MXD4		7.5339317	
RPA1		7.5214443	
TTC12		7.511457	
PPP3R1		7.5103645	
ATP1A1		7.509257	
TNFAIP8L1		7.508128	
STAU1		7.487474	
IMPDH2		7.4815245	
MS4A1		7.479619	
ZNF3		7.479424	
MKRN1		7.4735622	
PIK3R1		7.464366	
BACH2		7.449501	
PMEL		7.444215	
KPNA4		7.4352326	
BNIP3L		7.4130564	
ABHD14B		7.3916426	
PNRC1		7.3914504	
COL19A1		7.378611	
ZSCAN18		7.3782544	
RNF103		7.375552	
RAD23A		7.361756	
BCL11B		7.360117	
DDB1		7.3589697	
BCL7A		7.35781	
FOXN3		7.3502507	
ZNF653		7.342885	
ESYT2		7.3161445	
GPR183		7.311149	
NPIPB4		7.294958	
TRAF1		7.2929935	
LARGE2		7.2780585	
TSPAN5		7.273143	
C3orf52		7.272021	
SRSF8		7.2665524	
THEM4		7.2603507	
ELOF1		7.239871	
CNPY4		7.236712	
PPP1R13B		7.231125	
PPTC7		7.1973815	
TNS1		7.1948276	
ZER1		7.191424	
CCR6		7.18554	
MYC		7.184331	
CA5B		7.180622	
NFXL1		7.161689	
PI16		7.1610856	
CLC		7.1528625	
SOX12		7.1123786	
REST		7.111558	
SDK2		7.0907884	
AP2A1		7.0632625	
FAM117B		7.059137	
PPP1R9B		7.0510526	
YY1		7.0478992	
KIT		7.04633	
SPTAN1		7.0423565	
HSP90AB1		7.041145	
CAT		7.040399	
SPOCK2		7.0353107	
PLXDC1		7.0342317	
RPS6KA5		7.032019	
RPL4		7.030187	
TJP3		7.026246	
PCYOX1L		7.021473	
HMCES		7.020887	
SRRD		7.020346	
UBE2O		7.014693	
INPP5B		7.009522	
GPR146		6.9970727	
EIF1		6.9936724	
ODF2		6.9791045	
RAB11B		6.9709907	
KAT14		6.9492397	
TP53INP2		6.9384255	
GATA1		6.9335327	
R3HDM4		6.931277	
MOAP1		6.9290514	
SLC29A1		6.927909	
ZBED4		6.9222217	
TMCC1		6.918346	
GATD3A		6.917412	
S1PR1		6.902796	
SPNS3		6.899067	
PTGER4		6.894712	
ITPKB		6.8922787	
CD3E		6.8816895	
GARRE1		6.8790326	
EIF3D		6.869305	
RANBP10		6.866854	
RNF11		6.85845	
TMEM204		6.858313	
HGSNAT		6.857988	
SCAI		6.8553514	
ABCC1		6.8521714	
APBB1		6.8353343	
EBF1		6.834356	
SMARCA2		6.8275847	
PHLDB3		6.825532	
UCP2		6.800029	
BCL2L1		6.7941494	
GAL3ST4		6.7850585	
MGAT5		6.784614	
CNPPD1		6.784317	
INPP5K		6.7831244	
UPF3A		6.7808876	
PAQR8		6.779563	
TBC1D22B		6.774939	
TAF3		6.767272	
EIF4EBP2		6.7643757	
KANK2		6.764278	
FLNB		6.756261	
TRAF5		6.754107	
UBE2H		6.7535205	
ZBTB4		6.742566	
ALS2CL		6.742047	
UNC119B		6.7330866	
ZNF626		6.7265797	
MFHAS1		6.7221513	
HLA-DOA		6.689003	
CNKSR2		6.6745696	
ACTR1B		6.6698546	
ALDH6A1		6.668155	
ARHGEF6		6.664457	
PCMTD2		6.6597652	
EPHX2		6.65824	
XPNPEP3		6.657853	
HAPLN3		6.654771	
CARMIL2		6.647244	
KDM3A		6.6268024	
SLC1A5		6.626507	
RMND5A		6.6223164	
SHISAL2A		6.5870266	
STRADB		6.5778146	
ARRDC2		6.5737214	
ALDH9A1		6.5691886	
KAT2B		6.5676203	
SH3GLB2		6.563346	
DENND11		6.553362	
NMT2		6.5499363	
GOLGA7B		6.544586	
CD1C		6.5427423	
PCTP		6.5381026	
RASA4B		6.534893	
CNNM3		6.5308323	
TENT5C		6.528296	
CD96		6.527996	
CBLL1		6.527177	
RNF182		6.5107427	
RIOK3		6.5057282	
MICAL3		6.5051627	
ZBED2		6.50174	
ST3GAL1		6.4851117	
PRPS1		6.482422	
NOS3		6.4800963	
ADAM23		6.4620523	
CD22		6.461635	
UGT2B11		6.457776	
DCAF12		6.457219	
MAST4		6.455699	
ARHGAP35		6.450127	
MFNG		6.4479384	
ZDHHC11B		6.4468575	
PHF10		6.446017	
MARF1		6.4379005	
PITPNC1		6.437883	
NCOA4		6.4368396	
SIRPG		6.422808	
PGM2L1		6.4224887	
NRCAM		6.4196057	
IBA57		6.417439	
ZNF8		6.407276	
TEF		6.39749	
KLHL36		6.395423	
MBNL3		6.3935485	
CIRBP		6.380105	
CEP43		6.37282	
MAN1C1		6.371811	
RPL22		6.3654304	
ZNF609		6.3608093	
METRN		6.3592725	
RETREG3		6.3577466	
GSTM2		6.35205	
FMNL3		6.347529	
RALBP1		6.3473926	
MPRIP		6.3450913	
CYFIP2		6.3371778	
ANAPC16		6.331769	
OXNAD1		6.32095	
FITM2		6.309045	
BAG1		6.3081994	
SLC39A6		6.2983313	
LY9		6.293397	
SLC35D1		6.2931266	
SATB1		6.2862315	
PRKCSH		6.2761064	
ITGA6		6.274702	
SESN3		6.274138	
PDE4DIP		6.271616	
CAMK4		6.241553	
POLR1D		6.237977	
THUMPD1		6.2258368	
CHST7		6.214976	
MUC20		6.2098393	
LSR		6.2084208	
TMOD1		6.2061176	
RPS26		6.203256	
PHF20		6.200865	
ZFYVE9		6.1848264	
IL7R		6.1830673	
CLCF1		6.18189	
PA2G4		6.1804414	
CD28		6.1737494	
TRIM28		6.1712885	
RBM38		6.169452	
CD6		6.1678457	
CXCL5		6.1674232	
SEMA4C		6.1644936	
ALKBH5		6.16429	
WNK1		6.163377	
BCLAF1		6.160705	
GVQW3		6.159601	
FAM104A		6.1547294	
XPC		6.1505666	
ALDH5A1		6.1499114	
PATZ1		6.148537	
BHLHE40		6.139486	
BPGM		6.1341596	
DGKA		6.116016	
MTMR1		6.115068	
RNF20		6.11339	
CDKN1B		6.107944	
FOXP3		6.1053915	
SH2D3A		6.1052175	
ORMDL3		6.1013703	
EIF2S3		6.096668	
SLC35E1		6.0880427	
PPP4R3A		6.085649	
C15orf62		6.077858	
GFUS		6.0751185	
IL21R		6.070138	
AKT3		6.0643897	
NEO1		6.0622663	
ZBTB44		6.0622625	
PRXL2B		6.0570607	
RPS5		6.0564375	
CD8B		6.0552483	
GOT2		6.053406	
BAG3		6.05073	
ATL3		6.0501547	
MXI1		6.046142	
RPL3		6.038524	
CREBL2		6.0378995	
NR3C2		6.03246	
SLC25A38		6.0303974	
DENND4A		6.0282726	
TBCEL		6.02551	
SLC7A6		6.015498	
NECTIN1		6.013572	
SHARPIN		6.0119233	
MPZL1		6.007564	
PITHD1		6.0007486	
YBX1		5.9996347	
P2RY2		5.999112	
XRN2		5.9927983	
OPTN		5.992137	
ANK1		5.9857836	
RPL18		5.9781537	
EIF3F		5.976759	
CAPN5		5.969826	
DCHS1		5.967033	
ZBTB25		5.961172	
MAP3K14		5.9600263	
GNL3L		5.9562874	
ZNF891		5.952121	
GDF11		5.9518743	
CERK		5.9509363	
FKBP4		5.9401517	
ZNF563		5.939683	
DYRK2		5.9333653	
APBA2		5.931548	
MBNL2		5.9283433	
CASP2		5.9279637	
RABGAP1L		5.927354	
TBC1D25		5.91722	
SLC25A39		5.908632	
PTGES3		5.908502	
IL24		5.902901	
FOXO4		5.9018683	
USP12		5.900814	
GPR82		5.9006433	
ZNF737		5.8971457	
KAT6B		5.8944836	
TNRC6C		5.892714	
BSG		5.891777	
CACNA1I		5.891387	
UBTF		5.8910584	
ZNF614		5.883137	
CHD3		5.8827767	
WBP11		5.881421	
TGFBR2		5.881155	
PSME4		5.8762593	
TRMO		5.8734283	
COQ4		5.870207	
EPB42		5.869865	
PIM1		5.866599	
ZNF566		5.864803	
RNF216		5.8632126	
RPIA		5.8613834	
CDR2		5.8472176	
GABARAPL2		5.846064	
TNK1		5.844324	
COQ6		5.8424416	
SNRPN		5.842129	
VASH1		5.829781	
ATF7IP2		5.8279524	
AGFG2		5.8278637	
DNAJA4		5.822438	
GSPT1		5.8191123	
CMPK1		5.817866	
FXYD7		5.811976	
PACS1		5.808467	
TRIM27		5.7990766	
PRKCA		5.797771	
SLC2A4RG		5.7955575	
ALMS1		5.7942224	
STXBP4		5.7901635	
RASGRF2		5.7895045	
CR2		5.787671	
RHOH		5.781472	
ZNF606		5.7693653	
ATP6V0E2		5.7633247	
WIPI2		5.7625575	
ARHGEF18		5.756016	
PAIP2B		5.7513156	
GLG1		5.751039	
DGCR8		5.7503104	
RACK1		5.7470417	
AP1M1		5.7466526	
TET1		5.7455087	
